"name"|"DISPLAY"|"Loc_x"|"Loc_y"
2613|1700 Eisenhower Street, Shoreview, San Mateo|-122.293377727273|37.5618990909091
1907|500 Margaret Street, Central San Jose, San Jose|-121.87579575|37.330111
2377|2400 Hospital Drive, Cuesta Park, Mountain View|-122.086186578947|37.3690025263158
2620|2200 McGee Avenue, Central Berkeley, Berkeley|-122.2784712|37.866656
1030|5300 Lawton Avenue, Shafter, Oakland|-122.255615842105|37.8409751578947
1952|200 Parmer Avenue, Alum Rock, San Jose|-121.853121210526|37.3449608421053
488|0 Oak Gate Place, Pleasant Hill|-122.056072518519|37.9386215555556
1071|2000 Rose Street, North Berkeley, Berkeley|-122.27062|37.8821735833333
2370|1500 Partridge Avenue, Birdland Neighbors, Sunnyvale|-122.006195225806|37.3464015483871
2643|1300 Egbert Avenue, Bayview, San Francisco|-122.389649083333|37.7213893333333
2603|11200 Kerrigan Drive, Chabot Park, Oakland|-122.131900222222|37.7407823111111
1933|16300 Los Gatos Almaden Road, Los Gatos|-121.954588794118|37.2419256764706
2316|2800 Folsom Street, Mission District, San Francisco|-122.413962|37.7512786666667
2582|1200 Manzanita Drive, Millbrae|-122.399123454545|37.5892010909091
2313|1300 Webster Street, Western Addition, San Francisco|-122.429552222222|37.7834468888889
957|33200 Central Avenue, Union City|-122.041777655172|37.6017764137931
1906|0 South 21st Street, Central San Jose, San Jose|-121.866221454545|37.3456712727273
1050|3700 Towns Court, Pinole|-122.252644255319|37.9836847659574
2513|300 O' Connor Street, The Willows, Menlo Park|-122.14270576|37.45799576
1852|0 Ryan Court, Stanford|-122.15809075|37.422516625
1850|200 Vernal Court, North Los Altos, Los Altos|-122.121451344828|37.3926597586207
2515|6000 Chesbro Avenue, Edenvale, San Jose|-121.8442055|37.2401221
2247|J. Arthur Younger Freeway, Foster City|-122.276124108108|37.5586724324324
2245|1400 Crestwood Court, South San Mateo, San Mateo|-122.323217820513|37.5232305897436
2275|0 Potomac Drive, Antioch|-121.8475404|38.0023092
1870|6700 Heathfield Drive, South San Jose, San Jose|-121.8550198|37.2211894
1648|Historic Trail, Inner Sunset, San Francisco|-122.455894814815|37.7585294814815
1510|500 Buena Vista Avenue, West Alameda, Alameda|-122.2846938|37.7776396666667
1649|1300 10th Avenue, Inner Sunset, San Francisco|-122.4678544|37.7630497
